Date,Open,High,Low,Close,Volume,Closen,sma,bbm,bbh,bbl,CCI,CloseOpen_g,rmax,rmin,Close_ah,Close_al,Close_ah_2,Close_al_2,Close_r,Close_f,Close_rp,Closebbh_c,Close_ah100_v,Close_74,vol
2020-12-01,109.68,110.50,109.12,110.03,1625653,110.02,109.37,109.37,113.12,105.62,24.72,0.32,115.35,104.69,25.0,0.0,98.15,98.0,110.03,0.00,110.03,0.00,0,109.71,0.79
2020-12-02,109.90,110.50,108.84,110.01,1485634,109.53,109.63,109.63,113.06,106.21,15.40,0.10,115.35,105.84,20.0,0.0,98.12,98.0,0.00,110.01,,0.00,0,109.65,0.72
2020-12-03,109.76,110.23,109.04,109.04,1260431,109.71,109.72,109.72,113.06,106.38,-28.64,-0.66,115.35,105.84,15.0,5.0,98.09,98.03,0.00,109.04,,0.00,0,109.50,0.61
2020-12-04,109.16,110.38,108.96,110.38,1553655,109.96,109.95,109.95,113.04,106.86,19.50,1.11,115.35,106.76,10.0,0.0,98.06,98.0,110.38,0.00,110.38,0.00,0,109.31,0.76
2020-12-07,109.22,110.50,109.10,109.53,1219677,110.50,109.75,109.75,112.61,106.89,-10.89,0.28,115.35,106.76,5.0,45.0,98.03,98.27,0.00,109.53,,0.00,0,109.13,0.59
2020-12-08,109.70,111.59,109.62,111.46,1392978,111.22,109.56,109.56,111.83,107.28,117.09,1.58,114.50,106.76,0.0,40.0,98.0,98.24,111.46,0.00,111.46,0.00,0,109.01,0.68
2020-12-09,112.02,113.23,110.95,110.97,1632374,110.79,109.38,109.38,111.05,107.71,133.06,-0.95,111.46,106.76,0.0,35.0,98.0,98.21,0.00,110.97,,0.00,0,108.95,0.79
2020-12-10,111.22,111.85,110.07,110.60,1272752,110.19,109.37,109.37,111.03,107.72,103.83,-0.56,111.46,106.76,90.0,30.0,98.54,98.18,0.00,110.60,,0.00,0,108.96,0.62
2020-12-11,110.23,110.60,108.49,109.78,1658102,109.79,109.35,109.35,111.00,107.71,36.26,-0.41,111.46,106.76,85.0,25.0,98.51,98.15,0.00,109.78,,0.00,0,109.03,0.81
2020-12-14,111.11,112.12,109.76,109.80,1940592,110.77,109.37,109.37,111.02,107.73,36.17,-1.19,111.46,106.76,80.0,20.0,98.48,98.12,109.80,0.00,,0.00,0,109.13,0.94
2020-12-15,109.70,111.73,109.49,111.73,1459377,112.21,109.52,109.52,111.31,107.73,172.60,1.82,111.73,106.76,100.0,15.0,98.6,98.09,111.73,0.00,,111.31,100.0,109.27,0.71
2020-12-16,112.39,113.42,111.12,112.68,1847903,113.14,109.75,109.75,111.74,107.75,206.39,0.26,112.68,106.76,100.0,10.0,98.6,98.06,112.68,0.00,,0.00,100.0,109.43,0.90
2020-12-17,113.60,114.16,113.03,113.60,2012092,114.20,110.08,110.08,112.19,107.96,233.18,0.00,113.60,106.76,100.0,5.0,98.6,98.03,113.60,0.00,,0.00,100.0,109.59,0.98
2020-12-18,113.50,115.53,113.33,114.79,6241979,112.76,110.48,110.48,112.78,108.18,262.22,1.12,114.79,108.49,100.0,0.0,98.6,98.0,114.79,0.00,114.79,0.00,100.0,109.76,3.03
2020-12-21,113.01,113.09,108.77,110.73,2922669,111.07,110.57,110.57,112.81,108.34,9.77,-2.06,114.79,108.49,95.0,15.0,98.57,98.09,0.00,110.73,,-112.81,0,109.92,1.42
2020-12-22,111.48,111.88,110.70,111.40,1390621,112.70,110.67,110.67,112.89,108.45,46.06,-0.07,114.79,108.49,90.0,10.0,98.54,98.06,111.40,0.00,,0.00,0,110.09,0.68
2020-12-23,111.90,113.99,111.67,113.99,1149343,115.11,110.90,110.90,113.31,108.48,179.66,1.83,114.79,108.49,85.0,5.0,98.51,98.03,113.99,0.00,,113.31,0,110.27,0.56
2020-12-28,115.35,116.33,115.27,116.23,1067229,115.31,111.28,111.28,114.08,108.48,247.31,0.76,116.23,109.04,100.0,0.0,98.6,98.0,116.23,0.00,116.23,0.00,100.0,110.46,0.52
2020-12-29,116.33,116.66,114.14,114.38,902680,114.44,111.51,111.51,114.43,108.60,137.76,-1.70,116.23,109.04,95.0,20.0,98.57,98.12,0.00,114.38,,-114.43,0,110.67,0.44
2020-12-30,114.14,115.27,114.09,114.50,796354,114.55,111.78,111.78,114.73,108.84,129.23,0.31,116.23,109.04,90.0,15.0,98.54,98.09,114.50,0.00,,0.00,0,110.90,0.39
2021-01-04,115.82,116.21,113.68,114.59,1257386,114.48,112.01,112.01,115.02,109.00,120.01,-1.07,116.23,109.04,85.0,10.0,98.51,98.06,114.59,0.00,114.59,0.00,0,111.15,0.61
2021-01-05,113.52,115.06,113.31,114.36,1355886,116.55,112.23,112.23,115.25,109.21,98.87,0.73,116.23,109.04,80.0,5.0,98.48,98.03,0.00,114.36,,0.00,0,111.43,0.66
2021-01-06,114.65,118.96,114.28,118.74,2048105,119.92,112.71,112.71,116.17,109.25,243.97,3.44,118.74,109.53,100.0,0.0,98.6,98.0,118.74,0.00,,116.17,100.0,111.73,1.00
2021-01-07,119.02,121.10,118.76,121.10,2215688,120.96,113.25,113.25,117.50,109.00,258.60,1.72,121.10,109.53,100.0,5.0,98.6,98.03,121.10,0.00,121.10,0.00,100.0,112.05,1.08
2021-01-08,121.39,122.06,120.50,120.81,1823416,120.80,113.81,113.81,118.49,109.13,209.42,-0.48,121.10,109.78,95.0,0.0,98.57,98.0,0.00,120.81,,0.00,0,112.39,0.89
2021-01-11,119.83,121.26,118.72,120.79,1565979,120.82,114.28,114.28,119.37,109.19,179.16,0.79,121.10,109.78,90.0,15.0,98.54,98.09,0.00,120.79,,0.00,0,112.75,0.76
2021-01-12,121.30,122.31,120.85,120.85,1567127,120.26,114.77,114.77,120.13,109.41,158.79,-0.37,121.10,109.78,85.0,10.0,98.51,98.06,120.85,0.00,120.85,0.00,0,113.13,0.76
2021-01-13,120.73,121.06,119.46,119.66,1583183,119.43,115.23,115.23,120.61,109.84,115.37,-0.89,121.10,109.78,80.0,5.0,98.48,98.03,0.00,119.66,,-120.61,0,113.56,0.77
2021-01-14,119.82,119.91,118.96,119.19,1682173,117.95,115.70,115.70,120.90,110.49,94.03,-0.53,121.10,109.80,75.0,0.0,98.45,98.0,0.00,119.19,,0.00,0,114.02,0.82
2021-01-15,118.00,118.74,115.80,116.70,2425856,116.73,116.04,116.04,120.87,111.21,19.10,-1.11,121.10,110.73,70.0,0.0,98.42,98.0,0.00,116.70,,0.00,0,114.53,1.18
2021-01-18,115.61,116.76,115.41,116.76,1099972,117.43,116.29,116.29,120.91,111.67,14.17,0.98,121.10,110.73,65.0,20.0,98.39,98.12,116.76,0.00,,0.00,0,115.08,0.53
2021-01-19,117.69,118.31,117.18,118.10,1209636,118.66,116.56,116.56,121.06,112.07,47.89,0.35,121.10,110.73,60.0,15.0,98.36,98.09,118.10,0.00,,0.00,0,115.66,0.59
2021-01-20,118.12,119.70,117.22,119.21,1531142,119.91,116.84,116.84,121.30,112.39,74.38,0.91,121.10,110.73,55.0,10.0,98.33,98.06,119.21,0.00,,0.00,0,116.26,0.74
2021-01-21,119.68,121.02,119.58,120.61,1453490,125.00,117.14,117.14,121.68,112.59,106.96,0.77,121.10,110.73,50.0,5.0,98.3,98.03,120.61,0.00,,0.00,0,116.85,0.71
2021-01-22,125.39,129.42,124.88,129.38,4955875,127.22,118.07,118.07,123.56,112.58,288.53,3.08,129.38,111.40,100.0,0.0,98.6,98.0,129.38,0.00,129.38,123.56,100.0,117.41,2.41
2021-01-25,129.30,129.83,125.06,125.06,2658503,126.18,118.75,118.75,124.19,113.31,162.29,-3.39,129.38,113.99,95.0,0.0,98.57,98.0,0.00,125.06,,0.00,0,117.92,1.29
2021-01-26,125.27,128.39,124.88,127.30,1900490,126.66,119.42,119.42,125.24,113.59,189.54,1.59,129.38,114.36,90.0,0.0,98.54,98.0,127.30,0.00,127.30,0.00,0,118.35,0.92
